Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All:LAG 0,0.003890091,0.002937419,0.006616423,0.00555469,0.000440308,0.000314356,-0.000114413,0.000365652
Female,0.001044707,0.004175127,-0.003880893,0.007911801,0.001434564,0.000444624,-0.00116928,0.000525364
Male,0.005767859,0.003488023,0.013539633,0.006584203,-0.000225132,0.000374234,0.00057232,0.000429534
Warm All,-0.003248102,0.003207442,-0.006754627,0.0098891,0.000983407,0.000304847,-0.001021537,0.000382573
Warm Female,-0.006442505,0.004725004,-0.044028197,0.01473318,0.001757268,0.000447368,-0.001826763,0.000581828
Warm Male,-0.001179867,0.003890171,0.01667677,0.01189205,0.00047476,0.000371022,-0.00050387,0.000447466
Cold All,0.009132558,0.002659358,0.012251058,0.004322104,-0.000221288,0.000307557,0.000106436,0.000342699
Cold Female,0.006448781,0.003763899,0.005324191,0.006126315,0.000964503,0.000432425,-0.001140168,0.000484013
Cold Male,0.010929984,0.003144174,0.016874177,0.005101718,-0.001024974,0.000364194,0.000927011,0.000409476
Age 0-10 All,0.004905639,0.006692947,0.006760474,0.012558855,-0.00066374,0.000700383,0.000968384,0.000829975
Age 0-10 Female,0.003712478,0.00974833,0.02255589,0.01816996,-0.000571361,0.00101425,-0.001431505,0.001234873
Age 0-10 Male,0.005827473,0.008528256,-0.005263549,0.01608204,-0.000733432,0.000896456,0.002693408,0.001064053
Age 11-60 All,0.003136526,0.003277878,0.0058683,0.006193736,0.000814709,0.000351038,-0.000188865,0.000410442
Age 11-60 Female,-0.000900116,0.004835862,-0.009288788,0.00916788,0.002016353,0.000514856,-0.001095387,0.000612408
Age 11-60 Male,0.005453316,0.003866556,0.014581342,0.007288878,0.000106761,0.000415523,0.000328069,0.000474505
Age 60+All,0.00905509,0.007799006,0.01258082,0.01498481,-0.000916909,0.000851287,-0.000909635,0.000953003
Age 60+ Female,0.008024821,0.009955725,-0.004699357,0.01912217,0.000685353,0.001086018,-0.001293081,0.001189623
Age 60+ Male,0.01046434,0.01140443,0.03802339,0.0219129,-0.003251578,0.001244364,-0.000342932,0.001409019
All:LAG 1,0.013224037,0.00303926,0.02820496,0.005712168,-0.001113415,0.000329432,0.000761697,0.000375176
Female,0.011411048,0.004185544,0.020108117,0.007877355,0.000129156,0.00045307,9.06093E-05,0.000529344
Male,0.0144156,0.003610234,0.03357997,0.006780851,-0.0019423,0.00039056,0.001192724,0.000439688
Warm All,0.00628482,0.003573796,0.034852989,0.011405568,-0.000299102,0.000346218,-6.19081E-05,0.000424085
Warm Female,0.006713745,0.004911541,-0.001407443,0.015826772,0.000702212,0.000474747,0.000120583,0.000611953
Warm Male,0.005954431,0.004243765,0.0579194,0.01344696,-0.000960284,0.000411139,-0.00018137,0.000482099
Cold All,0.01771044,0.002648906,0.02944299,0.004263372,-0.001875692,0.000307849,0.000989248,0.000337693
Cold Female,0.0146258,0.003721282,0.02483521,0.005991295,-0.000403391,0.000432182,-9.63733E-05,0.000476897
Cold Male,0.01980043,0.003148113,0.0325392,0.005068667,-0.002865972,0.000364574,0.001702081,0.000406938
Age 0-10 All,0.00795021,0.006872612,0.02556898,0.01278541,-0.002426923,0.00072759,0.000816228,0.000860999
Age 0-10 Female,0.010973349,0.009809589,0.0364903,0.01812969,-0.002438167,0.001033082,0.000356595,0.001236102
Age 0-10 Male,0.005736017,0.00865215,0.01722604,0.01618265,-0.002422233,0.000920787,0.00115652,0.001102761
Age 11-60 All,0.01451332,0.003325378,0.02951018,0.006247462,-0.000888248,0.000361304,0.000991693,0.000412652
Age 11-60 Female,0.013173398,0.004804467,0.018732816,0.009050344,0.000835244,0.000520851,0.000336453,0.00061286
Age 11-60 Male,0.01526149,0.00393871,0.03575664,0.007386908,-0.00189687,0.00042685,0.001357924,0.00047695
Age 60+All,0.010872896,0.007784845,0.0219916,0.01494313,-0.000987971,0.000857503,-0.001001158,0.000949367
Age 60+ Female,0.003618503,0.009934996,0.01028215,0.01897031,-0.000607486,0.001091619,-0.001296772,0.00119084
Age 60+ Male,0.02139464,0.0113402,0.03946399,0.02193903,-0.001537842,0.001253578,-0.000570711,0.001391425
All:LAG2,0.01588483,0.003193533,0.03435052,0.005999248,-0.001497749,0.00034927,0.00115111,0.000389388
Female,0.014104575,0.004285471,0.029653618,0.008040627,-0.001090932,0.000468009,0.000602652,0.000533892
Male,0.01705424,0.003739936,0.0374726,0.007036206,-0.001766702,0.000409101,0.001505764,0.000451723
Warm All,0.006558732,0.003913895,0.046174337,0.012472718,-0.000599271,0.000382208,0.000559542,0.000473687
Warm Female,0.007283354,0.005149578,0.03450283,0.01647515,0.00020106,0.000502273,0.000589668,0.000642632
Warm Male,0.006053449,0.004560047,0.053573589,0.014506201,-0.001121022,0.000445342,0.000534126,0.000531048
Cold All,0.02154263,0.002718247,0.03467106,0.004395912,-0.002256689,0.000318443,0.001309573,0.000335381
Cold Female,0.01799817,0.003758506,0.0302251,0.006066359,-0.002122231,0.000438435,0.000505398,0.000469315
Cold Male,0.0239164,0.00319673,0.03766188,0.005176621,-0.00234625,0.000375287,0.001840753,0.000403578
Age 0-10 All,0.016773468,0.007001141,0.049345018,0.012947689,-0.002274722,0.000748638,0.001008522,0.000879946
Age 0-10 Female,0.012041444,0.009907157,0.058533002,0.018158789,-0.002101693,0.001052905,0.000148166,0.001269491
Age 0-10 Male,0.020289297,0.008714534,0.042291541,0.016249022,-0.002407199,0.000936761,0.001610386,0.001104907
