Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
All: LAG 0,0.003890091,0.002937419,1.003897667,0.998134492,1.009694,0.006616423,0.00555469,1.002650074,0.998293151,1.007026014,0.000440308,0.000314356,1.00618335,0.997541411,1.014900,-0.000114413,0.000365652,0.998959384,0.9924656,1.005496
Female,0.001044707,0.004175127,1.001045253,0.992886877,1.009271,-0.003880893,0.007911801,0.998448847,0.992274785,1.004661325,0.001434564,0.000444624,1.020286934,1.007914569,1.032811,-0.00116928,0.000525364,0.989415961,0.980188048,0.998731
Male,0.005767859,0.003488023,1.005784525,0.998931905,1.012684,0.013539633,0.006584203,1.005430545,1.00025387,1.010634012,-0.000225132,0.000374234,0.996853114,0.986668829,1.007143,0.00057232,0.000429534,1.005221698,0.99754995,1.012952
Warm All,-0.003248102,0.003207442,0.996757167,0.990510623,1.003043,-0.006754627,0.0098891,0.997301796,0.989599557,1.005063982,0.000983407,0.000304847,1.013862909,1.005417317,1.022379,-0.001021537,0.000382573,0.990747087,0.984009666,0.997531
Warm Female,-0.006442505,0.004725004,0.993578203,0.984419144,1.002822,-0.044028197,0.01473318,0.982542893,0.971259018,0.993957862,0.001757268,0.000447368,1.024906872,1.012402252,1.037566,-0.001826763,0.000581828,0.983513865,0.973360241,0.993773
Warm Male,-0.001179867,0.003890171,0.998820829,0.991234045,1.006466,0.01667677,0.01189205,1.006693007,0.997350856,1.016122665,0.00047476,0.000371022,1.006668778,0.996472034,1.016970,-0.00050387,0.000447466,0.995425279,0.987512405,1.003402
Cold All,0.009132558,0.002659358,1.009174387,1.00392791,1.014448,0.012251058,0.004322104,1.00491245,1.001513037,1.008323401,-0.000221288,0.000307557,0.996906762,0.988528904,1.005356,0.000106436,0.000342699,1.000969037,0.994869395,1.007106
Cold Female,0.006448781,0.003763899,1.006469619,0.99907197,1.013922,0.005324191,0.006126315,1.002131946,0.997330216,1.006956794,0.000964503,0.000432425,1.01359462,1.001638641,1.025693,-0.001140168,0.000484013,0.989678111,0.981171135,0.998259
Cold Male,0.010929984,0.003144174,1.010989934,1.004778785,1.017239,0.016874177,0.005101718,1.006772501,1.002753708,1.0108074,-0.001024974,0.000364194,0.985752829,0.975950785,0.995653,0.000927011,0.000409476,1.008471482,1.001133028,1.015864
