Edmonton,,,,,,,,,,,,,,,,Toronto,,,,,,,,,,,,,,,,Both,,,,,,,,,,,,,,,
Lag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Lag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Lag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
All,-1,0,1,0,0,0,-1,-1,-1,0,0,0,0,0,0,AQHI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,AQHI,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Female,-1,0,0,0,1,0,-1,-1,-1,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Male,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Warm All,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,-1,0,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Male,-1,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold All,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,-1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,2,0,1,1,0,2,3,0,0,0,0
Cold Male,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0
Age 0-10 All,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0
Age 0-10 Female,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Age 0-10 Male,0,0,0,1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
