Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,,,,,,,,,,,,,,
All: LAG 0,0.000754215,0.001896711,1.000754499,0.997041048,1.004482,-0.01566351,0.01748936,0.998434875,0.995018185,1.001863297,0.00022465,0.000602545,1.002879658,0.987833489,1.018155,7.99E-09,0.000240771,1.000000052,0.996937329,1.003072,,1.000754499,0.997041048,1.004481782,0.998434875,0.995018185,1.001863297,1.002879658,0.987833489,1.018155003,1.000000052,0.996937329,1.003072184
Female,-0.003093362,0.002484854,0.996911418,0.99206795,1.001779,-0.065888605,0.022816583,0.993432798,0.989000036,0.997885429,0.000292993,0.00076656,1.003757352,0.98463807,1.023248,-0.000473013,0.00031521,0.996930137,0.992934717,1.000942,,0.996911418,0.99206795,1.001778532,0.993432798,0.989000036,0.997885429,1.003757352,0.98463807,1.023247883,0.996930137,0.992934717,1.000941634
Male,0.003824286,0.002094139,1.003831608,0.999719813,1.00796,0.02565649,0.0193595,1.002568943,0.998771942,1.006380379,0.00024898,0.000775212,1.003192028,0.983869931,1.022894,0.000379643,0.00026601,1.002470727,0.999079136,1.005874,,1.003831608,0.999719813,1.007960315,1.002568943,0.998771942,1.006380379,1.003192028,0.983869931,1.022893589,1.002470727,0.999079136,1.005873831
Warm All,-0.002458736,0.001940359,0.997544284,0.993757725,1.001345,-0.03763856,0.0241794,0.996243218,0.99153303,1.000975782,0.000223145,0.000739527,1.002860339,0.984425558,1.02164,-0.000101816,0.000274392,0.999338415,0.995851073,1.002838,,0.997544284,0.993757725,1.001345272,0.996243218,0.99153303,1.000975782,1.002860339,0.984425558,1.021640337,0.999338415,0.995851073,1.00283797
Warm Female,-0.005431701,0.002610409,0.994583024,0.989507334,0.999685,-0.097241637,0.032520553,0.990322963,0.984030691,0.99665547,0.000299072,0.000970086,1.003835458,0.979699491,1.028566,-0.000642199,0.000369983,0.995834407,0.991151504,1.000539,,0.994583024,0.989507334,0.99968475,0.990322963,0.984030691,0.99665547,1.003835458,0.979699491,1.028566041,0.995834407,0.991151504,1.000539435
Warm Male,-0.000123447,0.002345571,0.999876561,0.995290359,1.004484,0.009583015,0.029226224,1.000958761,0.99524132,1.006709047,0.000270634,0.000974325,1.003470122,0.979238794,1.028301,0.000322755,0.000330848,1.00210011,0.997885143,1.006333,,0.999876561,0.995290359,1.004483895,1.000958761,0.99524132,1.006709047,1.003470122,0.979238794,1.028301057,1.00210011,0.997885143,1.006332879
Cold All,0.002633276,0.003474175,1.002636746,0.995832601,1.009487,-0.01271602,0.02441097,0.998729206,0.993962149,1.003519126,0.000436189,0.001000531,1.005598834,0.980671142,1.03116,-4.64E-05,0.000387901,0.999698362,0.994770181,1.004651,,1.002636746,0.995832601,1.009487382,0.998729206,0.993962149,1.003519126,1.005598834,0.980671142,1.031160164,0.999698445,0.994770264,1.004651041
Cold Female,-0.002760865,0.004500253,0.997242943,0.988485445,1.006078,-0.05929333,0.03166017,0.994088211,0.987938603,1.000276098,0.000561027,0.001244407,1.007206992,0.976248087,1.039148,-0.000501676,0.000502361,0.996744417,0.990385544,1.003144,,0.997242943,0.988485445,1.006078028,0.994088211,0.987938603,1.000276098,1.007206992,0.976248087,1.039147669,0.996744417,0.990385544,1.003144118
Cold Male,0.00711061,0.003694555,1.00713595,0.999869291,1.014455,0.02640689,0.02591314,1.002644179,0.997564684,1.007749538,0.000465645,0.001266059,1.005978054,0.974527411,1.038444,0.000329246,0.000412805,1.002142391,0.996885822,1.007427,,1.00713595,0.999869291,1.014455421,1.002644179,0.997564684,1.007749538,1.005978054,0.974527411,1.038443694,1.002142391,0.996885822,1.007426677
Age 0-10 All,0.000205333,0.003830862,1.000205354,0.992723447,1.007744,0.03241509,0.03602274,1.003246768,0.996188335,1.010355214,0.00045379,0.001061065,1.005825414,0.979403578,1.03296,0.001045924,0.000488555,1.006821668,1.00057448,1.013108,,1.000205354,0.992723447,1.007743651,1.003246768,0.996188335,1.010355214,1.005825414,0.979403578,1.032960045,1.006821668,1.00057448,1.013107861
Age 0-10 Female,0.00341302,0.005506827,1.003418851,0.992646807,1.014308,0.06094505,0.0517422,1.006113114,0.995961212,1.016368496,0.000651877,0.001469686,1.008378934,0.971875609,1.046253,0.001585628,0.0007026,1.010359878,1.001356377,1.019444,,1.003418851,0.992646807,1.014307791,1.006113114,0.995961212,1.016368496,1.008378934,0.971875609,1.046253312,1.010359878,1.001356377,1.019444332
Age 0-10 Male,-0.002142747,0.00478078,0.997859547,0.988552946,1.007254,0.0116196,0.04500824,1.001162635,0.992369605,1.010033577,0.000566932,0.001298351,1.007283123,0.97500147,1.040634,0.000654129,0.000609849,1.00426089,0.996488542,1.012094,,0.997859547,0.988552946,1.007253764,1.001162635,0.992369605,1.010033577,1.007283123,0.97500147,1.040633601,1.00426089,0.996488542,1.012093861
